"특성별(1)","견해별(1)",2022
"전체","남편이 전적으로 책임",0.5
"전체","남편이 주로 하고 아내도 분담",2.6
"전체","공평하게 분담",74.7
"전체","아내가 주로 하고 남편도 분담",16.9
"전체","아내가 전적으로 책임",5.3
