"시점","신혼부부 특성별(1)",신혼부부 특성별(2),주택 미소유,주택 소유
"2019","시도별",부산광역시,39908,32495
"2019","시도별",대구광역시,28131,25948
"2019","시도별",인천광역시,42339,33455
"2019","시도별",광주광역시,16090,17788
"2019","시도별",대전광역시,20858,14208
"2019","시도별",울산광역시,13926,16505
"2019","시도별",세종특별자치시,7704,5263
"2019","시도별",경기도,206129,150040
"2019","시도별",강원도,19464,15464
"2019","시도별",충청북도,20284,18460
"2019","시도별",충청남도,27326,26954
"2019","시도별",전라북도,18175,17907
"2019","시도별",전라남도,19039,19237
"2019","시도별",경상북도,28537,29133
"2019","시도별",경상남도,38899,40323
"2019","시도별",제주특별자치도,10066,7616
"2019","남편 연령별",19세이하,167,X
"2019","남편 연령별",20~24세,8719,694
"2019","남편 연령별",25~29세,84618,25577
"2019","남편 연령별",30~34세,240149,155232
"2019","남편 연령별",35~39세,205390,189446
"2019","남편 연령별",40~44세,72124,75492
"2019","남편 연령별",45~49세,36226,39712
"2019","남편 연령별",50세이상,55132,71436
"2020","전국",소계,667269,516481
"2020","혼인연차별",혼인 1년차,144072,70194
"2020","혼인연차별",혼인 2년차,143493,87144
"2020","혼인연차별",혼인 3년차,135077,106171
"2020","혼인연차별",혼인 4년차,124876,116668
"2020","혼인연차별",혼인 5년차,119751,136304
"2020","시도별",서울특별시,138967,80134
"2020","시도별",부산광역시,38453,29180
"2020","시도별",대구광역시,26155,23620
"2020","시도별",인천광역시,39822,29474
"2020","시도별",광주광역시,15424,16225
"2020","시도별",대전광역시,19698,12861
"2020","시도별",울산광역시,12273,15563
"2020","시도별",세종특별자치시,7541,4684
"2020","시도별",경기도,201359,140075
"2020","시도별",강원도,17996,15491
"2020","시도별",충청북도,18890,17801
"2020","시도별",충청남도,25531,24875
"2020","시도별",전라북도,16777,16726
"2020","시도별",전라남도,17253,18635
"2020","시도별",경상북도,25983,27163
"2020","시도별",경상남도,35446,36818
"2020","시도별",제주특별자치도,9707,7161
"2020","남편 연령별",19세이하,104,X
"2020","남편 연령별",20~24세,7068,629
"2020","남편 연령별",25~29세,79461,23420
"2020","남편 연령별",30~34세,227307,140179
"2020","남편 연령별",35~39세,192122,170468
"2020","남편 연령별",40~44세,73134,73789
"2020","남편 연령별",45~49세,34185,37498
"2020","남편 연령별",50세이상,53888,70495
"2021","전국",소계,621664,479791
"2021","혼인연차별",혼인 1년차,127030,64874
"2021","혼인연차별",혼인 2년차,129621,79845
"2021","혼인연차별",혼인 3년차,129115,96750
"2021","혼인연차별",혼인 4년차,122823,114004
"2021","혼인연차별",혼인 5년차,113075,124318
"2021","시도별",서울특별시,125889,74588
"2021","시도별",부산광역시,35737,26694
"2021","시도별",대구광역시,23794,21300
"2021","시도별",인천광역시,38702,26646
"2021","시도별",광주광역시,14317,15279
"2021","시도별",대전광역시,18403,11939
"2021","시도별",울산광역시,10959,13762
"2021","시도별",세종특별자치시,7321,4154
"2021","시도별",경기도,193547,131521
"2021","시도별",강원도,16696,15071
"2021","시도별",충청북도,17822,16519
"2021","시도별",충청남도,24026,22348
"2021","시도별",전라북도,15694,15464
"2021","시도별",전라남도,15473,17879
"2021","시도별",경상북도,23154,25553
"2021","시도별",경상남도,31350,34059
"2021","시도별",제주특별자치도,8784,7019
"2021","남편 연령별",19세이하,81,X
"2021","남편 연령별",20~24세,5711,540
"2021","남편 연령별",25~29세,70856,21781
"2021","남편 연령별",30~34세,211626,129404
"2021","남편 연령별",35~39세,176400,153410
"2021","남편 연령별",40~44세,72814,71140
"2021","남편 연령별",45~49세,31254,33697
"2021","남편 연령별",50세이상,52922,69815
